UNIQUE CITIES,,,TOP 10 CITIES,,,,,TOP 5 CHAINS,,,
Purnea,Ramanagara,,,,,,,,,,
Purulia,Ramanathapuram,,,,,,,,,,
Pusad,Rampur,,,,,,,,,,
Puttur,Ranaghat-wb,,,,,,,,,,
Rae-bareli,Ranchi,,,,,,,,,,
Raghunathpur,Ranibennur,,,,,,,,,,
Raichur,Raniganj,,,,,,,,,,
Raiganj,Ratlam,,,,,,,,,,
Raigarh,Ratnagiri,,,,,,,,,,
Raipur,Rayachoty,,,,,,,,,,
Rajahmundry,Rewa,,,,,,,,,,
Rajapalayam,Rewari,,,,,,,,,,
Rajkot,Rishikesh,,,,,,,,,,
Rajnandgaon,Rohtak,,,,,,,,,,
Rajsamand,Roorkee,,,,,,,,,,
Ramagundam,Ropar,,,,,,,,,,
Ramanagara,Rourkela,,,,,,,,,,
Ramanathapuram,Rudrapur,,,,,,,,,,
Rampur,Sagar,,,,,,,,,,
Ranaghat-wb,Saharanpur,,,,,,,,,,
Ranchi,Saharsa,,,,,,,,,,
Rangpo,Salem,,,,,,,,,,
Ranibennur,Samastipur,,,,,,,,,,
Raniganj,Sambalpur,,,,,,,,,,
Ratlam,Sangli,,,,,,,,,,
Ratnagiri,Sangrur,,,,,,,,,,
Rayachoty,Sasaram,,,,,,,,,,
Rewa,Satara,,,,,,,,,,
Rewari,Satna,,,,,,,,,,
Rishikesh,Sawai-madhopur,,,,,,,,,,
Rohtak,Sehore,,,,,,,,,,
Roorkee,Shahjahanpur,,,,,,,,,,
Ropar,Shikohabad,,,,,,,,,,
Rourkela,Shillong,,,,,,,,,,
Rudrapur,Shimla,,,,,,,,,,
Sagar,Shivamogga,,,,,,,,,,
Saharanpur,Shivpuri,,,,,,,,,,
Saharsa,Shrirampur,,,,,,,,,,
Salem,Siddipet,,,,,,,,,,
Samastipur,Sikar,,,,,,,,,,
Sambalpur,Silchar,,,,,,,,,,
Sangamner,Siliguri,,,,,,,,,,
Sangli,Silvassa,,,,,,,,,,
Sangrur,Sindhanur,,,,,,,,,,
Sasaram,Singrauli,,,,,,,,,,
Satara,Sirsa,,,,,,,,,,
Satna,Sirsi,,,,,,,,,,
Sawai-madhopur,Sitapur,,,,,,,,,,
Sehore,Sivakasi,,,,,,,,,,
Shahjahanpur,Sivasagar,,,,,,,,,,
Shikohabad,Siwan,,,,,,,,,,
Shillong,Solan,,,,,,,,,,
Shimla,Solapur,,,,,,,,,,
Shivamogga,Sonipat,,,,,,,,,,
Shivpuri,South-goa,,,,,,,,,,
Shrirampur,Sri-ganganagar,,,,,,,,,,
Siddipet,Srikakulam,,,,,,,,,,
Sikar,Srivilliputhur,,,,,,,,,,
Silchar,Sultanpur,,,,,,,,,,
Siliguri,Surat,,,,,,,,,,
Silvassa,Suratgarh,,,,,,,,,,
Sindhanur,Surendranagar-dudhrej,,,,,,,,,,
Singrauli,Suryapet,,,,,,,,,,
Sirsa,Tadepalligudem,,,,,,,,,,
Sirsi,Tadpatri,,,,,,,,,,
Sitapur,Tanuku,,,,,,,,,,
Sivakasi,Tenkasi,,,,,,,,,,
Sivasagar,Tezpur,,,,,,,,,,
Siwan,Thalassery,,,,,,,,,,
Solan,Thanjavur,,,,,,,,,,
Solapur,Theni,,,,,,,,,,
Sonipat,Thiruvalla,,,,,,,,,,
South-goa,Thiruvallur,,,,,,,,,,
Sri-ganganagar,Thiruvananthapuram,,,,,,,,,,
Srikakulam,Thiruvarur,,,,,,,,,,
Srivilliputhur,Thodupuzha,,,,,,,,,,
Sultanpur,Thoothukudi,,,,,,,,,,
Surat,Thrissur,,,,,,,,,,
Suratgarh,Tinsukia,,,,,,,,,,
Surendranagar-dudhrej,Tiptur,,,,,,,,,,
Suryapet,Tirunelveli,,,,,,,,,,
Tadepalligudem,Tirupati,,,,,,,,,,
Tadpatri,Tirupur,,,,,,,,,,
Tanuku,Tiruvannamalai,,,,,,,,,,
Tarn-taran-sahib,Tohana,,,,,,,,,,
Tenkasi,Trichy,,,,,,,,,,
Tezpur,Tumakuru,,,,,,,,,,
Thalassery,Tuni,,,,,,,,,,
Thanjavur,Udaipur,,,,,,,,,,
Theni,Udgir,,,,,,,,,,
Thiruvalla,Ujjain,,,,,,,,,,
Thiruvallur,Uluberia,,,,,,,,,,
Thiruvananthapuram,Uran-islampur,,,,,,,,,,
